sample_index,metadata_id,original_dataset_index,prompt,baseline_front_similarity,baseline_coverage_score,baseline_centering_score,baseline_connectivity_score,baseline_border_margin_score,baseline_mean_score,baseline_success,lora_front_similarity,lora_coverage_score,lora_centering_score,lora_connectivity_score,lora_border_margin_score,lora_mean_score,lora_success,delta_mean_score
0,7088,73134,"put a moustache on him. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",,,,,,0.0,0.0,,,,,,0.0,0.0,0.0
1,4314,44395,"add a flower crown. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.749358,0.116943,0.989169,0.573278,1.0,0.728588,1.0,0.723748,0.285278,0.978765,0.848533,1.0,0.744503,1.0,0.015915
2,12711,131954,"have more skulls. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.631315,0.069885,0.996672,1.0,1.0,0.698984,1.0,0.615506,0.205811,0.986135,1.0,1.0,0.671703,1.0,-0.027281
3,6415,66233,"as a painting by Vincent Van Gogh--. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.269819,0.162197,0.989463,0.641572,1.0,0.501648,1.0,0.351252,0.39992,0.962224,1.0,1.0,0.651991,1.0,0.150343
4,13841,143804,"make the cypress trees purple. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.611511,0.222107,0.97624,0.947519,1.0,0.671718,1.0,0.610586,0.16326,0.983917,0.842491,1.0,0.641288,1.0,-0.03043
5,11847,123215,"As an action figure. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.46211,0.098188,0.995009,1.0,1.0,0.627338,1.0,0.464606,0.093951,0.985026,0.882556,1.0,0.655371,1.0,0.028033
6,8899,91652,"as a japanese woodcut. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.519527,0.097011,0.986677,0.700584,1.0,0.652689,1.0,0.555472,0.124756,0.993719,1.0,1.0,0.696568,1.0,0.043879
7,10774,111786,"make it a poster for a Lord of the Rings movie. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.518215,0.576032,0.978787,1.0,1.0,0.697155,1.0,0.574245,0.757467,0.988354,0.917483,1.0,0.733966,1.0,0.036811
8,10518,109013,"Make it a Vincent van Gogh painting. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.33819,0.224827,0.983364,1.0,1.0,0.641777,1.0,0.3927,0.352644,0.977147,1.0,1.0,0.62116,1.0,-0.020617
9,2857,29226,"make the panthers purple. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.555422,0.109663,0.982023,0.608689,1.0,0.655998,1.0,,,,,,0.0,0.0,-0.655998
10,9141,94383,"make it a golden fox. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.603113,0.248439,0.967165,1.0,1.0,0.684017,1.0,0.607514,0.234122,0.968232,1.0,1.0,0.680919,1.0,-0.003098
11,7506,77467,"Make Terry wear a bowler hat. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.513656,0.188555,0.975325,1.0,1.0,0.633024,1.0,0.512931,0.239947,0.973303,1.0,1.0,0.671628,1.0,0.038604
12,2029,20607,"make the painting by Van Gogh. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.386779,0.346444,0.979395,1.0,1.0,0.577643,1.0,0.473773,0.341178,0.988354,1.0,1.0,0.640653,1.0,0.06301
13,9265,95846,"Add a viking helmet to the model. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.399645,0.146981,0.987359,0.684577,1.0,0.620337,1.0,0.332882,0.046256,0.993323,0.72703,1.0,0.591449,1.0,-0.028888
14,6277,64778,"make it look like a pencil drawing. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.667238,0.03404,0.990017,1.0,1.0,0.736256,1.0,0.663313,0.127738,0.977268,1.0,1.0,0.72697,1.0,-0.009286
15,2913,29824,"turn into a ladybug. Keep a single centered object, clean background, clear silhouette, product-style view, suitable for 3D asset generation.",0.316303,0.073879,0.994481,0.827314,1.0,0.597837,1.0,0.443797,0.388341,0.979454,0.947808,1.0,0.691857,1.0,0.09402
